"","rt","Xstimuluspleasure","keypress","Xword","wordpositionleft","validityvalid","Xblock","blocknum","Xwordtype","trialtype","trialindex","timeelapsed","rt.1","stimulus���","keypress.1","dotpositionleft","trialtype.1","trialindex.1","timeelapsed.1","keypressed","participantresponseleft","correctresponse","rt.2","stimulus","keypress.2","blocktrialend","trialtype.2","trialindex.2","timeelapsed.2"
"1","  1","successsuccess"," 1","success","positionleft","validityvalid","test","4","positive","singlestim","51","  73664"," 546","‚óè","67","dotpositionleft","singlestim","52","  74263","c","left","correct","1",NA,"1","trialend","singlestim","53","  75278"
"2","  1","attractionattraction"," 1","attraction","positionright","validityvalid","test","1","positive","singlestim","51","  60890"," 334","‚óè","77","dotpositionright","singlestim","52","  61277","m","right","correct","1",NA,"1","trialend","singlestim","53","  62291"
"3","  1","filthyfilthy"," 1","filthy","positionleft","validityinvalid","test","2","negative","singlestim","51","2515489"," 545","‚óè","77","dotpositionright","singlestim","52","2516085","m","right","correct","1",NA,"1","trialend","singlestim","53","2517096"
"4","  1","ashamedashamed"," 1","ashamed","positionright","validityinvalid","test","4","negative","singlestim","51","  76847"," 455","‚óè","67","dotpositionleft","singlestim","52","  77357","c","left","correct","1",NA,"1","trialend","singlestim","53","  78371"
"5","  1","bloodblood"," 1","blood","positionleft","validityvalid","test","1","suicide","singlestim","51","  79984"," 479","‚óè","67","dotpositionleft","singlestim","52","  80515","c","left","correct","1",NA,"1","trialend","singlestim","53","  81528"
"6","663","statuestatue","77","statue","positionright","validityinvalid","test","1","neutral","singlestim","51","  81363"," 421","‚óè","67","dotpositionleft","singlestim","52","  81837","c","left","correct","1",NA,"1","trialend","singlestim","53","  82861"
"7","  1","pleasurepleasure"," 1","pleasure","positionleft","validityvalid","test","2","positive","singlestim","51"," 100010"," 468","‚óè","67","dotpositionleft","singlestim","52"," 100020","c","left","correct","1",NA,"1","trialend","singlestim","53"," 100030"
"8","  1","smilesmile"," 1","smile","positionleft","validityvalid","test","3","positive","singlestim","51"," 100010"," 481","‚óè","67","dotpositionleft","singlestim","52"," 100020","c","left","correct","1",NA,"1","trialend","singlestim","53"," 100030"
"9","  1","diedie"," 1","die","positionright","validityvalid","test","3","suicide","singlestim","51"," 100010"," 443","‚óè","77","dotpositionright","singlestim","52"," 100020","m","right","correct","1",NA,"1","trialend","singlestim","53"," 100030"
"10","  1","overdoseoverdose"," 1","overdose","positionright","validityinvalid","test","2","suicide","singlestim","51","  64171"," 938","‚óè","67","dotpositionleft","singlestim","52","  65162","c","left","correct","1",NA,"1","trialend","singlestim","53","  66180"
