"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"1","Subject164",NA,NA,NA,NA,0,0,48
"2","Subject241",NA,NA,NA,NA,0,0,96
"3","Subject284",NA,NA,NA,NA,0,0,96
"4","Subject75",NA,NA,NA,NA,0,0,96
"5","Subject1",798.354166666667,236.718927465818,1271.7920215983,324.91631173503,2,0,48
"6","Subject10",NA,NA,NA,NA,0,0,48
"7","Subject100",573.833333333333,196.555804791319,966.944942915972,180.721723750695,4,0,48
"8","Subject101",556.083333333333,161.618256991306,879.319847315945,232.846819350722,2,1,48
"9","Subject102",367.291666666667,73.2085212844276,513.708709235522,220.874624097812,3,0,48
"10","Subject103",452.375,108.166464500571,668.707929001141,236.042070998859,1,0,48
"11","Subject104",475.375,104.234927988491,683.844855976982,266.905144023017,3,0,48
"12","Subject105",448.416666666667,95.5051147863538,639.426896239374,257.406437093959,2,0,48
"13","Subject106",457.479166666667,96.2456939259663,649.970554518599,264.987778814734,1,1,48
"14","Subject107",474.875,123.890072241483,722.655144482967,227.094855517033,3,0,48
"15","Subject108",498.645833333333,96.1987060521049,691.043245437543,306.248421229123,3,0,48
"16","Subject109",404.5625,113.524372910318,631.611245820635,177.513754179365,3,0,48
"17","Subject11",699.479166666667,309.932593191963,1319.34435305059,79.6139802827399,4,0,48
"18","Subject110",560.541666666667,117.891937235963,796.325541138592,324.757792194741,3,0,48
"19","Subject111",432.708333333333,94.6413067870188,621.990946907371,243.425719759296,2,0,48
"20","Subject112",NA,NA,NA,NA,0,0,48
"21","Subject113",546.833333333333,203.01863800126,952.870609335853,140.796057330814,2,0,48
"22","Subject114",552.125,227.830529121977,1007.78605824395,96.463941756046,2,0,48
"23","Subject115",453.833333333333,72.3485456435552,598.530424620444,309.136242046223,3,0,48
"24","Subject116",597.104166666667,262.813196305822,1122.73055927831,71.4777740550236,2,2,48
"25","Subject117",462.375,90.1994539305073,642.773907861015,281.976092138985,2,0,48
"26","Subject118",530.354166666667,95.2560914639736,720.866349594614,339.841983738719,2,0,48
"27","Subject119",495.458333333333,149.869014913709,795.196363160752,195.720303505914,1,0,48
"28","Subject12",527.041666666667,138.559298056876,804.160262780419,249.923070552915,3,0,48
"29","Subject120",374.1875,95.7800352869765,565.747570573953,182.627429426047,1,0,48
"30","Subject121",519.729166666667,124.713584986327,769.156336639321,270.301996694012,3,0,48
"31","Subject122",589.354166666667,147.814790608704,884.983747884075,293.724585449258,2,0,48
"32","Subject123",615.333333333333,143.867896457847,903.069126249027,327.59754041764,2,0,48
"33","Subject124",557.875,89.1824868314783,736.239973662957,379.510026337043,1,0,48
"34","Subject125",689.229166666667,175.235433070901,1039.70003280847,338.758300524865,1,0,48
"35","Subject127",833.833333333333,229.842067269081,1293.5174678715,374.149198795171,2,0,48
"36","Subject128",499.916666666667,123.745936246766,747.408539160199,252.424794173135,2,0,48
"37","Subject129",389.416666666667,98.7879382191402,586.992543104947,191.840790228386,2,0,48
"38","Subject13",422.833333333333,79.738757850534,582.310849034401,263.355817632265,1,0,48
"39","Subject131",574.479166666667,159.241552043313,892.962270753292,255.996062580041,2,0,48
"40","Subject132",708.75,480.05520515874,1668.86041031748,-251.36041031748,2,0,48
