"","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"1","Subject164","","",NA,NA,NA,NA,0,0,15
"2","Subject164","num1","typenegative",420,111.502466340436,643.004932680871,196.995067319129,0,0,6
"3","Subject164","num1","typeneutral",557.5,135.556261382498,828.612522764995,286.387477235005,0,0,6
"4","Subject164","num1","typepositive",471.166666666667,57.7214575930534,586.609581852774,355.72375148056,0,0,6
"5","Subject164","num1","typesuicide",611.833333333333,219.260955636581,1050.3552446065,173.311422060172,0,0,6
"6","Subject164","num2","typenegative",624.666666666667,188.399398442069,1001.4654635508,247.867869782529,0,0,3
"7","Subject164","num2","typeneutral",407.5,98.2878425849301,604.07568516986,210.92431483014,0,0,2
"8","Subject164","num2","typepositive",377.5,16.2634559672906,410.026911934581,344.973088065419,0,0,2
"9","Subject164","num2","typesuicide",486.5,34.6482322781408,555.796464556282,417.203535443718,0,0,2
"10","Subject241","","",NA,NA,NA,NA,0,0,1
"11","Subject241","num1","typenegative",733.166666666667,243.860137510555,1220.88694168778,245.446391645557,0,0,6
"12","Subject241","num1","typeneutral",599.166666666667,208.712641367663,1016.59194940199,181.741383931341,0,0,6
"13","Subject241","num1","typepositive",556,172.564963612741,901.129927225482,210.870072774518,1,0,7
"14","Subject241","num1","typesuicide",820.833333333333,143.648761451906,1108.13085623715,533.535810429521,0,0,6
"15","Subject241","num2","typenegative",739.666666666667,264.905769409929,1269.47820548653,209.855127846808,0,0,6
"16","Subject241","num2","typeneutral",803.833333333333,303.718564902883,1411.2704631391,196.396203527568,0,0,6
"17","Subject241","num2","typepositive",774.833333333333,570.650301556625,1916.13393644658,-366.467269779916,0,0,6
"18","Subject241","num2","typesuicide",881.833333333333,424.085565265627,1730.00446386459,33.6622028020787,0,0,6
"19","Subject241","100010","edn",NA,NA,NA,NA,0,0,1
"20","Subject241","1010190","edc",NA,NA,NA,NA,0,0,1
"21","Subject241","1010210","edc",NA,NA,NA,NA,0,0,1
"22","Subject241","1010230","edn",NA,NA,NA,NA,0,0,1
"23","Subject241","1020","",NA,NA,NA,NA,0,0,1
"24","Subject241","2920160","1010150",NA,NA,NA,NA,0,0,1
"25","Subject241","2926065","1010170",NA,NA,NA,NA,0,0,1
"26","Subject241","550","alone",NA,NA,NA,NA,0,0,1
"27","Subject241","67","alone",1010390,NA,NA,NA,0,0,1
