"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"1","Subject164","",NA,NA,NA,NA,0,0,15
"2","Subject164","typenegative",488.222222222222,164.669956107495,817.562134437213,158.882310007232,0,0,9
"3","Subject164","typeneutral",520,139.021067262689,798.042134525378,241.957865474622,0,0,8
"4","Subject164","typepositive",447.75,65.556409733472,578.862819466944,316.637180533056,1,0,8
"5","Subject164","typesuicide",580.5,194.620509857371,969.741019714741,191.258980285259,1,0,8
"6","Subject241","",NA,NA,NA,NA,0,0,2
"7","Subject241","typenegative",736.416666666667,242.775788194238,1221.96824305514,250.865090278191,1,0,12
"8","Subject241","typeneutral",701.5,270.470129421145,1242.44025884229,160.55974115771,1,0,12
"9","Subject241","typepositive",657,404.309699776463,1465.61939955293,-151.619399552925,1,0,13
"10","Subject241","typesuicide",851.333333333333,303.551802777873,1458.43693888908,244.229727777587,1,0,12
"11","Subject241","1010150",NA,NA,NA,NA,0,0,1
"12","Subject241","1010170",NA,NA,NA,NA,0,0,1
"13","Subject241","2914452",NA,NA,NA,NA,0,0,1
"14","Subject241","479",NA,NA,NA,NA,0,0,1
"15","Subject241","598",NA,NA,NA,NA,0,0,1
"16","Subject241","65",67,NA,NA,NA,0,0,1
"17","Subject241","67",67,NA,NA,NA,0,0,1
"18","Subject241","681",NA,NA,NA,NA,0,0,1
"19","Subject241","69",67,NA,NA,NA,0,0,1
"20","Subject241","71",67,NA,NA,NA,0,0,1
"21","Subject241","73",67,NA,NA,NA,0,0,1
"22","Subject241","75",67,NA,NA,NA,0,0,1
"23","Subject241","767",NA,NA,NA,NA,0,0,1
"24","Subject241","77",78,NA,NA,NA,0,0,1
"25","Subject241","78",70,43.8406204335659,157.681240867132,-17.6812408671319,0,0,2
"26","Subject241","alone",NA,NA,NA,NA,0,0,2
"27","Subject241","colorblue",NA,NA,NA,NA,0,0,2
"28","Subject241","colorred",1000310,NA,NA,NA,0,0,1
"29","Subject241","correct",NA,NA,NA,NA,0,0,4
"30","Subject241","edc",NA,NA,NA,NA,0,0,2
"31","Subject241","edn",NA,NA,NA,NA,0,0,2
"32","Subject241","funeral",NA,NA,NA,NA,0,0,2
"33","Subject241","happy",1000250,NA,NA,NA,0,0,1
"34","Subject241","incorrect",NA,NA,NA,NA,0,0,2
"35","Subject241","museum",37,NA,NA,NA,0,0,1
"36","Subject241","num1",NA,NA,NA,NA,0,0,1
"37","Subject241","paicipantresponsered",NA,NA,NA,NA,0,0,1
"38","Subject241","pleasure",1907044.5,1268032.67039162,4443109.84078324,-629020.840783238,0,0,2
"39","Subject241","rejected",2984669,NA,NA,NA,0,0,1
"40","Subject241","singlestim",NA,NA,NA,NA,0,0,1
"41","Subject241","suicide",1000290,NA,NA,NA,0,0,1
"42","Subject241","test",NA,NA,NA,NA,0,0,3
"43","Subject284","typenegative",362.583333333333,59.6420509575605,481.867435248454,243.299231418212,0,0,12
"44","Subject284","typeneutral",343.666666666667,25.78348073453,395.233628135727,292.099705197607,0,0,12
"45","Subject284","typepositive",348.25,37.9763682499333,424.202736499867,272.297263500133,1,0,12
"46","Subject284","typesuicide",423.083333333333,192.018208574714,807.119750482762,39.046916183905,1,0,12
"47","Subject284","67",222042,NA,NA,NA,0,0,1
"48","Subject284","77",63,NA,NA,NA,0,0,1
"49","Subject284","colorblue",NA,NA,NA,NA,0,0,10
"50","Subject284","colorred",NA,NA,NA,NA,0,0,10
"51","Subject284","edc",NA,NA,NA,NA,0,0,1
"52","Subject284","funeral",101050,NA,NA,NA,0,0,1
"53","Subject284","incorrect",NA,NA,NA,NA,0,0,1
"54","Subject284","1",NA,NA,NA,NA,0,0,2
"55","Subject284","1000230",NA,NA,NA,NA,0,0,1
"56","Subject284","1000250",NA,NA,NA,NA,0,0,1
"57","Subject284","113467",NA,NA,NA,NA,0,0,1
"58","Subject284","119259",NA,NA,NA,NA,0,0,1
"59","Subject284","125050",NA,NA,NA,NA,0,0,1
"60","Subject284","134614",NA,NA,NA,NA,0,0,1
"61","Subject284","19",77,NA,NA,NA,0,0,1
"62","Subject284","21",67,NA,NA,NA,0,0,1
"63","Subject284","23",77,NA,NA,NA,0,0,1
"64","Subject284","25",67,NA,NA,NA,0,0,1
"65","Subject284","27",67,NA,NA,NA,0,0,1
"66","Subject284","29",77,NA,NA,NA,0,0,1
"67","Subject284","31",1,NA,NA,NA,0,0,1
"68","Subject284","372527",NA,NA,NA,NA,0,0,1
"69","Subject284","dead",235657,NA,NA,NA,0,0,1
"70","Subject284","ed",NA,NA,NA,NA,0,0,1
"71","Subject284","edm",NA,NA,NA,NA,0,0,2
"72","Subject284","paicipantresponseblue",NA,NA,NA,NA,0,0,2
"73","Subject284","stupid",NA,NA,NA,NA,0,0,1
"74","Subject75","",NA,NA,NA,NA,0,0,40
"75","Subject75","typenegative",496,188.337258865374,872.674517730749,119.325482269251,1,0,14
"76","Subject75","typeneutral",540.533333333333,155.210855045031,850.955043423395,230.111623243272,1,0,15
"77","Subject75","typepositive",499.928571428571,170.850570916276,841.629713261124,158.227429596019,1,0,14
"78","Subject75","typesuicide",473,93.8269684046117,660.653936809223,285.346063190777,0,0,13
"79","Subject1","typenegative",814.666666666667,158.993615271085,1132.65389720884,496.679436124497,0,1,12
"80","Subject1","typeneutral",764.833333333333,193.727002545209,1152.28733842375,377.379328242915,1,0,12
"81","Subject1","typepositive",763.083333333333,150.031183627291,1063.14570058792,463.02096607875,0,0,12
"82","Subject1","typesuicide",850.833333333333,385.006217974188,1620.84576928171,80.8208973849576,1,0,12
"83","Subject10","typesuicide",1,NA,NA,NA,0,0,1
"84","Subject10","singlestim",NA,NA,NA,NA,0,0,47
"85","Subject100","typenegative",666.166666666667,246.198675623546,1158.56401791376,173.769315419575,0,0,12
"86","Subject100","typeneutral",506.75,110.024893877373,726.799787754747,286.700212245253,1,0,12
"87","Subject100","typepositive",552.833333333333,232.913106439966,1018.65954621327,87.0071204534004,1,0,12
"88","Subject100","typesuicide",569.583333333333,152.954216758618,875.49176685057,263.674899816097,1,0,12
"89","Subject101","typenegative",541.333333333333,154.369293539482,850.071920412298,232.594746254369,1,0,12
"90","Subject101","typeneutral",560.666666666667,113.289117934708,787.244902536083,334.08843079725,1,0,12
"91","Subject101","typepositive",586.583333333333,246.327372093367,1079.23807752007,93.9285891465987,1,0,12
"92","Subject101","typesuicide",535.75,111.973312567204,759.696625134408,311.803374865592,0,0,12
"93","Subject102","typenegative",371.666666666667,60.7159307136458,493.098528093958,250.234805239375,0,0,12
"94","Subject102","typeneutral",343.666666666667,46.6521622481128,436.970991162892,250.362342170441,1,0,12
"95","Subject102","typepositive",374.333333333333,79.6187887068845,533.570910747102,215.095755919564,1,0,12
"96","Subject102","typesuicide",379.5,99.2531199418024,578.006239883605,180.993760116395,1,0,12
"97","Subject103","typenegative",465.083333333333,141.398507342857,747.880348019047,182.28631864762,0,0,12
"98","Subject103","typeneutral",472.833333333333,88.7804578551479,650.394249043629,295.272417623037,0,0,12
"99","Subject103","typepositive",417.333333333333,87.7934904745048,592.920314282343,241.746352384324,1,0,12
"100","Subject103","typesuicide",454.25,111.496534801433,677.243069602867,231.256930397133,0,0,12
"101","Subject104","typenegative",467.5,62.4536191541735,592.407238308347,342.592761691653,0,0,12
"102","Subject104","typeneutral",455,94.4534517392273,643.906903478455,266.093096521545,1,0,12
"103","Subject104","typepositive",524.75,161.157813676815,847.065627353629,202.434372646371,1,0,12
"104","Subject104","typesuicide",454.25,62.9460447165233,580.142089433047,328.357910566953,1,0,12
"105","Subject105","typenegative",436.583333333333,90.5261974471613,617.635728227656,255.530938439011,1,0,12
"106","Subject105","typeneutral",461.666666666667,103.477123807705,668.620914282077,254.712419051256,1,0,12
"107","Subject105","typepositive",460.916666666667,104.699099877466,670.314866421598,251.518466911735,0,0,12
"108","Subject105","typesuicide",434.5,91.5537596666074,617.607519333215,251.392480666785,0,0,12
"109","Subject106","typenegative",456.583333333333,87.8381345361334,632.2596024056,280.907064261066,0,0,12
"110","Subject106","typeneutral",451.166666666667,79.0061370842145,609.178940835096,293.154392498238,1,0,12
"111","Subject106","typepositive",446.666666666667,142.802045652099,732.270757970865,161.062575362468,1,0,12
"112","Subject106","typesuicide",475.5,68.5797478719616,612.659495743923,338.340504256077,0,0,12
"113","Subject107","typenegative",450,67.0345907993505,584.069181598701,315.930818401299,0,0,12
"114","Subject107","typeneutral",473.333333333333,93.4454953759709,660.224324085275,286.442342581391,1,0,12
"115","Subject107","typepositive",455.25,74.7421324530975,604.734264906195,305.765735093805,1,0,12
"116","Subject107","typesuicide",520.916666666667,208.227348799044,937.371364264755,104.461969068578,1,0,12
