esid,metaid,nosleep.findings,finding,year,first.author,sampletype,country,population,study.design,follow.up.yr,study.descript,totaln,time2.n,age.m,percentfemale,comparison,data.loc,sleepSTB.compareONLY,grp.notes,basicSTB,STBconstruct,STB.measure,STBmethod,STBdichot,sleepconstruct,addtinsom.sleep,basicsleepcon,sleep.measure,sleepmethod,sleepdichot,covar.adjusted,suicgrp.tot.n,suicgrp.m,suicgrp.sd,suicgrp.percent,suicgrp.corr,suicgrp.tau,suicgrp.StdBeta,sucigrp.b,suicgrp.SE,suicgrp.R2,suicgrp.HazR,scuigrp.RiskR,suicgrp.OR,suicgrp.CI.low,suicgrp.CI.high,suicgrp.tstat,scuigrp.X2,case.n,case.m,case.sd,case.percent,case.corr,case.StdBeta,case.OR,case.HazRatio,case.CI.low,case.CI.high,case.X2,case.tstat,ctrl.n,ctrl.m,ctrl.sd,ctrl.percent,ctrl.corr,ctrl.StdBeta,ctrl.OR,ctrl.CI.low,ctrl.CI.high,ctrl.tstat,ctrl.X2,othergrp.n,othergrp.m,othergrp.sd,othergrp.percent,othergrp.corr,othergrp.StdB,othergrp.OR,othergrp.CI.low,othergrp.CI.high,othergrp.tstat,othergrp.X2,othergrp2.n,othergrp2.m,othergrp2.sd,othergrp2.percent,othergrp2.corr,othergrp2.StdBeta,othergrp2.OR,othergrp2.CI.low,othergrp2.CI.high,othergrp2.tstat,othergrp2.X2,othergrp3.n,othergrp3.m,othergrp3.sd,othergrp3.percent,othergrp3.corr,othergrp3.StdBeta,othergrp3.OR,othergrp3.CI.low,othergrp3.CI.high,othergrp3.tstat,othergrp3.X2
1,324,4,1,1996,Rao,Clinical,USA,Adolescent,Cross-sectional,,,59,,,62,CaseCtrl,CaseCtrl,no,,Suicidality,suicidality,K-SADS?,interview,categorical,Sleep latency,Sleep latency,Sleep latency,PSG,objective,continuous,no,,,,,,,,,,,,,,,,,,28,17.9,19.9,,,,,,,,,,35,25,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,324,4,2,1996,Rao,Clinical,USA,Adolescent,Cross-sectional,,,59,,,62,CaseCtrl,CaseCtrl,no,,Suicidality,suicidality,K-SADS?,interview,categorical,REM latency,REM latency,REM latency,PSG,objective,continuous,no,,,,,,,,,,,,,,,,,,28,81,45.4,,,,,,,,,,35,76.8,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,324,4,3,1996,Rao,Clinical,USA,Adolescent,Cross-sectional,,,59,,,62,CaseCtrl,CaseCtrl,no,,Suicidality,suicidality,K-SADS?,interview,categorical,REM density,REM density,REM density,PSG,objective,continuous,no,,,,,,,,,,,,,,,,,,28,1.3,0.2,,,,,,,,,,35,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,324,4,4,1996,Rao,Clinical,USA,Adolescent,Cross-sectional,,,59,,,62,CaseCtrl,CaseCtrl,no,,Suicidality,suicidality,K-SADS?,interview,categorical,Coristol,Coristol,Coristol,Blood,objective,continuous,no,,,,,,,,,,,,,,,,,,28,7.3,5.3,,,,,,,,,,35,10.8,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,322,2,1,2005,Barbe,Clinical,USA,Adolescent,Cross-sectional,,,135,,,,CaseCtrl,CaseCtrl,yes,,Suicidality,Suicidality,K-SADS ( > 4),interview,categorical,Hypersomnia,Hypersomnia,Hypersomnia,K-SADS,self-report,categorical,no,,,,,,,,,,,,,,,,,,43,,,20.9,,,,,,,,,92,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,322,2,2,2005,Barbe,Clinical,USA,Adolescent,Cross-sectional,,,135,,,,CaseCtrl,CaseCtrl,yes,,Suicidality,Suicidality,K-SADS ( > 4),interview,categorical,Insomnia,Insomnia,Insomnia,K-SADS,self-report,categorical,no,,,,,,,,,,,,,,,,,,43,,,72.1,,,,,,,,,92,,,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,321,1,1,2017,Zullo,Clinical,USA,Adolescent,Cross-sectional,,,151,,15.05,,SuicGrp,SuicGrp,yes,,SI,SI/SP,Concise Health Risk Tracking Scale - Self-Report (Active SI and SP),self-report,categorical,Insomnia,Insomnia,Insomnia,ISI,self-report,categorical,no,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,319,8,1,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekday bedtime (< 22:00),Early bedtime,Early bedtime,no measure,self-report,categorical,yes,,,,,,,,,,,,,0.59,0.41,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,319,8,2,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekday bedtime (> 23:30),Late bedtime,Late bedtime,no measure,self-report,categorical,yes,,,,,,,,,,,,,0.98,0.77,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,319,8,3,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekday sleep duration (< 7 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.68,1.27,2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,319,8,4,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekday sleep duration (> 8 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,0.84,0.59,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,319,8,5,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekend bedtime delay (< 1 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.2,0.87,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,319,8,6,2017,Zhang,Community,USA,Adolescent,Cross-sectional,,,10123,,,,SuicGrp,SuicGrp,yes,,Suicidality,Past year suicidality,no measure,interview,categorical,Weekend bedtime delay (> 2 hours),Sleep duration,Sleep duration,no measure,self-report,categorical,yes,,,,,,,,,,,,,1.92,1.38,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
