esid,ctrl.n,ctrl.sd,ctrl.m,population.x,basicsleepcon.x,metaid.x,basicSTB.x,treat.n,treat.sd,treat.m,population.y,basicsleepcon.y,metaid.y,basicSTB.y,type
1,35,13.5,25,Adolescent,Sleep latency,324,Suicidality,28,19.9,17.9,Adolescent,Sleep latency,324,Suicidality,case
1,35,13.5,25,Adolescent,Sleep latency,324,Suicidality,NA,NA,NA,Adolescent,Sleep latency,324,Suicidality,othergrp
1,35,13.5,25,Adolescent,Sleep latency,324,Suicidality,,NA,NA,Adolescent,Sleep latency,324,Suicidality,suic
2,35,31.2,76.8,Adolescent,REM latency,324,Suicidality,NA,NA,NA,Adolescent,REM latency,324,Suicidality,othergrp
2,35,31.2,76.8,Adolescent,REM latency,324,Suicidality,28,45.4,81,Adolescent,REM latency,324,Suicidality,case
2,35,31.2,76.8,Adolescent,REM latency,324,Suicidality,,NA,NA,Adolescent,REM latency,324,Suicidality,suic
3,35,0.2,1.4,Adolescent,REM density,324,Suicidality,NA,NA,NA,Adolescent,REM density,324,Suicidality,othergrp
3,35,0.2,1.4,Adolescent,REM density,324,Suicidality,28,0.2,1.3,Adolescent,REM density,324,Suicidality,case
3,35,0.2,1.4,Adolescent,REM density,324,Suicidality,,NA,NA,Adolescent,REM density,324,Suicidality,suic
4,35,4.7,10.8,Adolescent,Coristol,324,Suicidality,28,5.3,7.3,Adolescent,Coristol,324,Suicidality,case
4,35,4.7,10.8,Adolescent,Coristol,324,Suicidality,NA,NA,NA,Adolescent,Coristol,324,Suicidality,othergrp
4,35,4.7,10.8,Adolescent,Coristol,324,Suicidality,,NA,NA,Adolescent,Coristol,324,Suicidality,suic
5,92,NA,NA,Adolescent,Hypersomnia,322,Suicidality,43,NA,NA,Adolescent,Hypersomnia,322,Suicidality,case
5,92,NA,NA,Adolescent,Hypersomnia,322,Suicidality,NA,NA,NA,Adolescent,Hypersomnia,322,Suicidality,othergrp
5,92,NA,NA,Adolescent,Hypersomnia,322,Suicidality,,NA,NA,Adolescent,Hypersomnia,322,Suicidality,suic
6,92,NA,NA,Adolescent,Insomnia,322,Suicidality,NA,NA,NA,Adolescent,Insomnia,322,Suicidality,othergrp
6,92,NA,NA,Adolescent,Insomnia,322,Suicidality,43,NA,NA,Adolescent,Insomnia,322,Suicidality,case
6,92,NA,NA,Adolescent,Insomnia,322,Suicidality,,NA,NA,Adolescent,Insomnia,322,Suicidality,suic
7,NA,NA,NA,Adolescent,Insomnia,321,SI,NA,NA,NA,Adolescent,Insomnia,321,SI,othergrp
7,NA,NA,NA,Adolescent,Insomnia,321,SI,,NA,NA,Adolescent,Insomnia,321,SI,suic
7,NA,NA,NA,Adolescent,Insomnia,321,SI,NA,NA,NA,Adolescent,Insomnia,321,SI,case
8,NA,NA,NA,Adolescent,Early bedtime,319,Suicidality,NA,NA,NA,Adolescent,Early bedtime,319,Suicidality,othergrp
8,NA,NA,NA,Adolescent,Early bedtime,319,Suicidality,NA,NA,NA,Adolescent,Early bedtime,319,Suicidality,case
8,NA,NA,NA,Adolescent,Early bedtime,319,Suicidality,,NA,NA,Adolescent,Early bedtime,319,Suicidality,suic
9,NA,NA,NA,Adolescent,Late bedtime,319,Suicidality,NA,NA,NA,Adolescent,Late bedtime,319,Suicidality,case
9,NA,NA,NA,Adolescent,Late bedtime,319,Suicidality,,NA,NA,Adolescent,Late bedtime,319,Suicidality,suic
9,NA,NA,NA,Adolescent,Late bedtime,319,Suicidality,NA,NA,NA,Adolescent,Late bedtime,319,Suicidality,othergrp
10,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,othergrp
10,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,,NA,NA,Adolescent,Sleep duration,319,Suicidality,suic
10,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,case
11,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,othergrp
11,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,case
11,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,,NA,NA,Adolescent,Sleep duration,319,Suicidality,suic
12,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,othergrp
12,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,case
12,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,,NA,NA,Adolescent,Sleep duration,319,Suicidality,suic
13,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,case
13,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,,NA,NA,Adolescent,Sleep duration,319,Suicidality,suic
13,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,othergrp
14,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,,NA,NA,Adolescent,Sleep duration,319,Suicidality,suic
14,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,othergrp
14,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,case
15,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,othergrp
15,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,case
15,NA,NA,NA,Adolescent,Sleep duration,319,Suicidality,,NA,NA,Adolescent,Sleep duration,319,Suicidality,suic
16,NA,NA,NA,Adolescent,Sleep quality ,312,SI,NA,NA,NA,Adolescent,Sleep quality ,312,SI,othergrp
16,NA,NA,NA,Adolescent,Sleep quality ,312,SI,NA,NA,NA,Adolescent,Sleep quality ,312,SI,case
16,NA,NA,NA,Adolescent,Sleep quality ,312,SI,,NA,NA,Adolescent,Sleep quality ,312,SI,suic
17,NA,NA,NA,Adolescent,Sleep quality ,312,SA,NA,NA,NA,Adolescent,Sleep quality ,312,SA,othergrp
17,NA,NA,NA,Adolescent,Sleep quality ,312,SA,NA,NA,NA,Adolescent,Sleep quality ,312,SA,case
17,NA,NA,NA,Adolescent,Sleep quality ,312,SA,,NA,NA,Adolescent,Sleep quality ,312,SA,suic
18,NA,NA,NA,Adult,Insomnia,290,SA,,NA,NA,Adult,Insomnia,290,SA,suic
18,NA,NA,NA,Adult,Insomnia,290,SA,NA,NA,NA,Adult,Insomnia,290,SA,othergrp
18,NA,NA,NA,Adult,Insomnia,290,SA,NA,NA,NA,Adult,Insomnia,290,SA,case
19,NA,NA,NA,Adult,Nightmares,290,SA,NA,NA,NA,Adult,Nightmares,290,SA,othergrp
19,NA,NA,NA,Adult,Nightmares,290,SA,NA,NA,NA,Adult,Nightmares,290,SA,case
19,NA,NA,NA,Adult,Nightmares,290,SA,,NA,NA,Adult,Nightmares,290,SA,suic
20,NA,NA,NA,Adult,Insomnia,288,SI,NA,NA,NA,Adult,Insomnia,288,SI,othergrp
20,NA,NA,NA,Adult,Insomnia,288,SI,NA,NA,NA,Adult,Insomnia,288,SI,case
20,NA,NA,NA,Adult,Insomnia,288,SI,,NA,NA,Adult,Insomnia,288,SI,suic
21,3174,4.3,6.4,Adult,Sleep quality,287,SI,NA,NA,NA,Adult,Sleep quality,287,SI,othergrp
21,3174,4.3,6.4,Adult,Sleep quality,287,SI,139,5.3,9.6,Adult,Sleep quality,287,SI,case
21,3174,4.3,6.4,Adult,Sleep quality,287,SI,,NA,NA,Adult,Sleep quality,287,SI,suic
22,3174,0.8,1.1,Adult,Sleep quality,287,SI,139,1,1.7,Adult,Sleep quality,287,SI,case
22,3174,0.8,1.1,Adult,Sleep quality,287,SI,,NA,NA,Adult,Sleep quality,287,SI,suic
22,3174,0.8,1.1,Adult,Sleep quality,287,SI,NA,NA,NA,Adult,Sleep quality,287,SI,othergrp
23,3174,1.2,1.4,Adult,Sleep latency,287,SI,NA,NA,NA,Adult,Sleep latency,287,SI,othergrp
23,3174,1.2,1.4,Adult,Sleep latency,287,SI,,NA,NA,Adult,Sleep latency,287,SI,suic
23,3174,1.2,1.4,Adult,Sleep latency,287,SI,139,1.2,2,Adult,Sleep latency,287,SI,case
24,3174,1.1,0.8,Adult,Sleep duration,287,SI,NA,NA,NA,Adult,Sleep duration,287,SI,othergrp
24,3174,1.1,0.8,Adult,Sleep duration,287,SI,139,1.3,1.2,Adult,Sleep duration,287,SI,case
