,treat.n,treat.sd,treat.m,population,basicsleepcon,esid,metaid,basicSTB,type
1,28,19.9,17.9,Adolescent,Sleep latency,1,324,Suicidality,case
2,28,45.4,81,Adolescent,REM latency,2,324,Suicidality,case
3,28,0.2,1.3,Adolescent,REM density,3,324,Suicidality,case
4,28,5.3,7.3,Adolescent,Coristol,4,324,Suicidality,case
5,43,NA,NA,Adolescent,Hypersomnia,5,322,Suicidality,case
6,43,NA,NA,Adolescent,Insomnia,6,322,Suicidality,case
7,NA,NA,NA,Adolescent,Insomnia,7,321,SI,case
8,NA,NA,NA,Adolescent,Early bedtime,8,319,Suicidality,case
9,NA,NA,NA,Adolescent,Late bedtime,9,319,Suicidality,case
10,NA,NA,NA,Adolescent,Sleep duration,10,319,Suicidality,case
11,NA,NA,NA,Adolescent,Sleep duration,11,319,Suicidality,case
12,NA,NA,NA,Adolescent,Sleep duration,12,319,Suicidality,case
13,NA,NA,NA,Adolescent,Sleep duration,13,319,Suicidality,case
14,NA,NA,NA,Adolescent,Sleep duration,14,319,Suicidality,case
15,NA,NA,NA,Adolescent,Sleep duration,15,319,Suicidality,case
16,NA,NA,NA,Adolescent,Sleep quality ,16,312,SI,case
17,NA,NA,NA,Adolescent,Sleep quality ,17,312,SA,case
18,NA,NA,NA,Adult,Insomnia,18,290,SA,case
19,NA,NA,NA,Adult,Nightmares,19,290,SA,case
20,NA,NA,NA,Adult,Insomnia,20,288,SI,case
21,139,5.3,9.6,Adult,Sleep quality,21,287,SI,case
22,139,1,1.7,Adult,Sleep quality,22,287,SI,case
23,139,1.2,2,Adult,Sleep latency,23,287,SI,case
24,139,1.3,1.2,Adult,Sleep duration,24,287,SI,case
25,139,1.3,1.7,Adult,Sleep efficiency,25,287,SI,case
26,139,0.7,1.3,Adult,Sleep disturbance,26,287,SI,case
27,259,NA,NA,Adult,Insomnia,27,280,Suicidality,case
28,1208,NA,NA,Adult,Normal Sleep duation (6-9 hr),28,279,SI,case
29,1208,NA,NA,Adult,Sleep disturbance,29,279,SI,case
30,NA,NA,NA,Adolescent,Insomnia,30,267,SI,case
31,NA,NA,NA,Adolescent,Insomnia,31,267,SI,case
32,NA,NA,NA,Adolescent,Insomnia,32,267,SI,case
33,NA,NA,NA,Adolescent,Circadian reversal,33,267,SI,case
34,NA,NA,NA,Adolescent,Nonrestorative sleep,34,267,SI,case
35,NA,NA,NA,Adolescent,Hypersomnia,35,267,SI,case
36,NA,NA,NA,Adolescent,Insomnia,36,267,SA,case
37,NA,NA,NA,Adolescent,Insomnia,37,267,SA,case
38,NA,NA,NA,Adolescent,Insomnia,38,267,SA,case
39,NA,NA,NA,Adolescent,Circadian reversal,39,267,SA,case
40,NA,NA,NA,Adolescent,Nonrestorative sleep,40,267,SA,case
41,NA,NA,NA,Adolescent,Hypersomnia,41,267,SA,case
42,NA,NA,NA,Adult,Sleep disturbance,42,266,SI,case
43,NA,NA,NA,Adult,Sleep disturbance,43,266,SI,case
44,NA,NA,NA,Adult,Sleep disturbance,44,266,SI,case
45,NA,NA,NA,Adult,Sleep disturbance,45,266,SA,case
46,NA,NA,NA,Adult,Sleep disturbance,46,266,SA,case
47,NA,NA,NA,Adult,Insomnia,47,255,SI,case
48,NA,NA,NA,Adult,Insomnia,48,255,SI,case
49,NA,NA,NA,Adult,Insomnia,49,255,SI,case
50,NA,NA,NA,Adult,Sleep disturbance,50,248,SI,case
51,NA,NA,NA,Adult,Sleep disturbance,51,248,,case
52,NA,NA,NA,Adult,Sleep disturbance,52,248,SA,case
53,NA,NA,NA,Adult,Sleep apnea,53,244,SI,case
54,35,NA,NA,Adult,Poor sleep,54,243,SA,case
55,324,NA,NA,Adult,Insomnia,55,240,SI,case
56,NA,NA,NA,Adolescent,Sleep duration,56,232,SI,case
57,NA,NA,NA,Adolescent,Sleep duration,57,232,SI,case
58,NA,NA,NA,Adolescent,Sleep duration,58,232,SI,case
59,NA,NA,NA,Adolescent,Sleep duration,59,232,SA,case
60,NA,NA,NA,Adolescent,Sleep duration,60,232,SA,case
61,NA,NA,NA,Adolescent,Sleep duration,61,232,SA,case
62,50,NA,NA,Adult,Sleep disorder,62,225,SI,case
63,50,NA,NA,Adult,No sleep disorder,63,225,SI,case
64,154,NA,NA,Adult,Insomnia,64,209,SI,case
65,154,NA,NA,Adult,Hypersomnia,65,209,SI,case
66,NA,NA,NA,Adult,Insomnia,66,183,Suicidality,case
67,NA,NA,NA,Adult,Insomnia,67,183,SA,case
68,NA,NA,NA,Adult,Nightmares,68,183,Suicidality,case
69,NA,NA,NA,Adult,Nightmares,69,183,SA,case
70,NA,NA,NA,Adult,Sleep efficiency,70,183,Suicidality,case
71,NA,NA,NA,Adult,Wake after sleep onset,71,183,Suicidality,case
72,NA,NA,NA,Adult,Sleep-onset latency,72,183,Suicidality,case
73,NA,NA,NA,Adult,Total sleep time,73,183,Suicidality,case
74,NA,NA,NA,Adult,Sleep variability,74,183,Suicidality,case
75,NA,NA,NA,Adult,Sleep efficiency,75,183,Suicidality,case
76,NA,NA,NA,Adult,Wake after sleep onset,76,183,Suicidality,case
77,NA,NA,NA,Adult,Sleep-onset latency,77,183,Suicidality,case
78,NA,NA,NA,Adult,Total sleep time,78,183,Suicidality,case
