"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1","negative",521.5,53.2321957716067,654.580489429017,388.419510570983,0,0,"Subject1","neutral",524.75,87.5989916228111,743.747479057028,305.752520942972,0,0,"Subject1","positive",566.75,125.873944881377,881.434862203443,252.065137796557,0,0,"Subject1","suicide",508.5,79.2022726946645,706.505681736661,310.494318263339,0,0
"5","Subject10","negative",397.125,127.926476279671,716.941190699178,77.3088093008215,0,1,"Subject10","neutral",526.3,138.842622001353,873.406555003382,179.193444996618,0,0,"Subject10","positive",439,73.7219307731633,623.304826932908,254.695173067092,0,0,"Subject10","suicide",474.666666666667,206.334518036448,990.502961757787,-41.1696284244536,2,0
"9","Subject100","negative",429.666666666667,32.6241219549789,511.226971554114,348.10636177922,0,0,"Subject100","neutral",465,13.4412301024373,498.603075256093,431.396924743907,0,0,"Subject100","positive",473.5,118.632485713934,770.081214284834,176.918785715166,0,0,"Subject100","suicide",637.5,432.652670549175,1719.13167637294,-444.131676372939,0,0
"16","Subject102","negative",331.25,26.2599187609812,396.899796902453,265.600203097547,0,0,"Subject101","neutral",434.5,53.0330085889911,567.082521472478,301.917478527522,0,0,"Subject101","positive",448,52.3259018078045,578.814754519511,317.185245480489,0,0,"Subject101","suicide",466,74.953318805774,653.383297014435,278.616702985565,0,0
"20","Subject103","negative",364.75,48.4862523471001,485.96563086775,243.53436913225,0,0,"Subject102","neutral",341.25,25.3952095220076,404.738023805019,277.761976194981,0,0,"Subject102","positive",340.5,24.5696289484938,401.924072371235,279.075927628765,0,0,"Subject102","suicide",331.25,11.842719282327,360.856798205818,301.643201794182,0,0
"24","Subject104","negative",500.75,108.133790586785,771.084476466962,230.415523533038,0,0,"Subject103","neutral",389.75,67.0590535771768,557.397633942942,222.102366057058,0,0,"Subject103","positive",416.25,92.1208445467148,646.552111366787,185.947888633213,0,0,"Subject103","suicide",357.25,25.3558014400387,420.639503600097,293.860496399903,0,0
"28","Subject105","negative",366,49.8196748283246,490.549187070812,241.450812929188,0,0,"Subject104","neutral",524.75,245.713077931694,1139.03269482923,-89.5326948292347,0,0,"Subject104","positive",430.5,136.118820643338,770.797051608346,90.202948391654,0,0,"Subject104","suicide",386.25,53.9837938644553,521.209484661138,251.290515338862,0,0
"32","Subject106","negative",337.75,57.7775908116633,482.193977029158,193.306022970842,0,0,"Subject105","neutral",354.5,27.0370116691915,422.092529172979,286.907470827021,0,0,"Subject105","positive",355,40.0166631958905,455.041657989726,254.958342010274,0,0,"Subject105","suicide",411.75,49.3988866271296,535.247216567824,288.252783432176,0,0
"36","Subject107","negative",360.5,37.8197479279454,455.049369819864,265.950630180136,0,0,"Subject106","neutral",391.25,105.389357463962,654.723393659904,127.776606340096,0,0,"Subject106","positive",334.5,73.3325757536626,517.831439384157,151.168560615843,0,0,"Subject106","suicide",348.75,50.8224031964907,475.806007991227,221.693992008773,0,0
"40","Subject108","negative",494.5,73.8037939404202,679.00948485105,309.99051514895,0,0,"Subject107","neutral",356,45.040722315108,468.60180578777,243.39819421223,0,0,"Subject107","positive",330.25,19.8221256848671,379.805314212168,280.694685787832,0,0,"Subject107","suicide",360.25,44.9916658949188,472.729164737297,247.770835262703,0,0
