"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1",530.375,83.8736152394383,740.059038098596,320.690961901404,0,0
"2","Subject10",464.704225352113,155.571058120553,853.631870653495,75.7765800507301,2,1
"3","Subject100",506.2,224.253428067443,1066.83357016861,-54.4335701686085,1,0
"4","Subject101",449.5,49.3305179376824,572.826294844206,326.173705155794,0,0
"5","Subject102",336.0625,20.9871984790729,388.530496197682,283.594503802318,0,0
"6","Subject103",382,61.3753479284096,535.438369821024,228.561630178976,0,0
"7","Subject104",460.5625,148.138659707721,830.909149269303,90.2158507306972,1,0
"8","Subject105",371.8125,45.1725857130185,484.743964282546,258.881035717454,0,0
"9","Subject106",353.0625,70.9182334335348,530.358083583837,175.766916416163,1,0
"10","Subject107",351.75,36.6469644036174,443.367411009044,260.132588990956,0,0
"11","Subject108",451.0625,72.3726179803752,631.994044950938,270.130955049062,0,0
"12","Subject109",404.526315789474,105.400489362691,668.027539196201,141.025092382746,1,0
"13","Subject11",511.480769230769,216.596986416909,1052.97323527304,-30.0116968115045,3,0
"14","Subject110",376.142857142857,214.415040339547,912.180457991724,-159.89474370601,0,0
"15","Subject111",322.125,36.4195460341467,413.173865085367,231.076134914633,1,0
"16","Subject112",423,136.462449047348,764.15612261837,81.8438773816304,1,0
"17","Subject113",367.25,34.5707005039431,453.676751259858,280.823248740142,0,0
"18","Subject114",414.3125,53.8562515715059,548.953128928765,279.671871071235,0,0
"19","Subject115",426.625,47.6527368923689,545.756842230922,307.493157769078,1,0
"20","Subject116",387.1875,43.880472118396,496.88868029599,277.48631970401,1,0
"21","Subject117",456.6875,64.6227191731618,618.244297932904,295.130702067096,0,0
"22","Subject118",364.0625,17.3761090773126,407.502772693282,320.622227306718,0,0
"23","Subject119",334.5625,39.463010106512,433.22002526628,235.90497473372,0,0
"24","Subject120",300.875,30.6874024098923,377.593506024731,224.156493975269,0,0
"25","Subject121",432.375,67.6440438373303,601.485109593326,263.264890406674,0,0
"26","Subject123",414,45.7340136003828,528.335034000957,299.664965999043,0,0
"27","Subject124",524.8125,142.286667798966,880.529169497415,169.095830502585,1,0
"28","Subject125",415,92.1006695596364,645.251673899091,184.748326100909,1,0
"29","Subject127",470.375,81.8851838450237,675.087959612559,265.662040387441,0,0
"30","Subject128",418.3125,82.0558498828694,623.452124707174,213.172875292826,0,0
"31","Subject129",325.25,37.4424002079639,418.85600051991,231.64399948009,0,0
"32","Subject13",369.8,61.8848392850247,524.512098212562,215.087901787438,0,0
"33","Subject130",415.266666666667,45.7812604623749,529.719817822604,300.813515510729,0,0
"34","Subject131",396.0625,84.5052020095016,607.325505023754,184.799494976246,0,0
"35","Subject132",532.777777777778,207.220983367304,1050.83023619604,14.7253193595183,1,0
"36","Subject133",296.333333333333,26.9700009710966,363.758335761075,228.908330905592,0,0
"37","Subject134",436.4375,81.8714184967298,641.116046241825,231.758953758176,1,0
"38","Subject135",345.875,134.788661738788,682.846654346969,8.90334565303073,1,0
"39","Subject137",418,58.239734431629,563.599336079072,272.400663920928,0,0
"40","Subject138",369.5,132.897454201852,701.74363550463,37.2563644953702,1,0
"41","Subject139",507.5625,243.89450417479,1117.29876043698,-102.173760436975,1,0
"42","Subject14",312.375,31.9601314139977,392.275328534994,232.474671465006,0,0
"43","Subject140",353.214285714286,40.6810834350629,454.916994301943,251.511577126628,0,0
"44","Subject141",450.3125,68.464802392665,621.474505981662,279.150494018338,0,0
"45","Subject142",513.5625,114.147839080145,798.932097700362,228.192902299638,0,0
"46","Subject143",308.6,32.4715259881638,389.77881497041,227.42118502959,0,0
"47","Subject144",444.125,86.0216058131134,659.179014532784,229.070985467216,1,0
"48","Subject145",439.533333333333,127.889386729686,759.256800157549,119.809866509118,0,0
"49","Subject146",319.4375,17.2741377015854,362.622844253963,276.252155746037,0,0
"50","Subject147",616.666666666667,442.081714645881,1721.87095328137,-488.537619948037,0,0
"51","Subject148",344.384615384615,119.392586635811,642.866081974144,45.9031487950867,1,0
"52","Subject149",338.125,43.0764823695405,445.816205923851,230.433794076149,1,0
"53","Subject15",428.25,74.0724870200355,613.431217550089,243.068782449911,1,0
"54","Subject151",366.875,35.694770858862,456.111927147155,277.638072852845,1,0
"55","Subject152",411.5625,148.787082212581,783.530205531453,39.5947944685475,1,0
"56","Subject153",365.875,60.5781863930133,517.320465982533,214.429534017467,0,0
"57","Subject154",337.125,64.1325357588264,497.456339397066,176.793660602934,0,0
"58","Subject155",411.75,76.6163603068344,603.290900767086,220.209099232914,1,0
"59","Subject156",365.125,50.212714193386,490.656785483465,239.593214516535,0,0
"60","Subject157",442.5,70.3609740315373,618.402435078843,266.597564921157,0,0
"61","Subject158",650.125,359.606984544702,1549.14246136175,-248.892461361754,1,0
"62","Subject159",397.666666666667,74.6048174575797,584.178710310616,211.154623022717,1,0
"63","Subject16",425.625,140.029937275332,775.699843188329,75.5501568116707,1,0
"64","Subject17",358.25,41.9658591397023,463.164647849256,253.335352150744,0,0
"65","Subject18",441.258064516129,181.044187560558,893.868533417523,-11.352404385265,2,0
"66","Subject181",587.3125,345.533735690164,1451.14683922541,-276.52183922541,1,0
"67","Subject182",358.0625,39.4334354746493,456.646088686623,259.478911313377,0,0
"68","Subject183",434.625,178.700820740514,881.377051851285,-12.1270518512851,1,0
"69","Subject184",306.5,25.1130776024498,369.282694006125,243.717305993875,0,0
"70","Subject185",383.111111111111,73.5840411441986,567.071213971608,199.151008250615,0,0
"71","Subject186",331.2,33.7791144263518,415.64778606588,246.75221393412,0,0
"72","Subject187",357.8125,63.1086034810891,515.584008702723,200.040991297277,1,0
"73","Subject188",355.8125,58.7494326213737,502.686081553434,208.938918446566,0,0
"74","Subject189",421.375,40.5756495121561,522.81412378039,319.93587621961,0,0
"75","Subject19",392.5,101.884248046496,647.210620116241,137.789379883759,1,0
"76","Subject190",603.1875,81.3078255766319,806.45706394158,399.91793605842,1,0
"77","Subject191",444.666666666667,79.5328024570156,643.498672809206,245.834660524128,0,0
"78","Subject192",455.75,64.9158429558353,618.039607389588,293.460392610412,0,0
"79","Subject194",342.875,54.3002455488616,478.625613872154,207.124386127846,0,0
"80","Subject196",480.5,237.385481162321,1073.9637029058,-112.963702905803,1,0
"81","Subject197",401.666666666667,113.107828873076,684.436238849356,118.897094483978,0,0
"82","Subject198",356.8125,59.5362284663716,505.653071165929,207.971928834071,1,0
"83","Subject199",344.6875,40.506326666337,445.953316665842,243.421683334158,0,0
"84","Subject20",439.1875,45.2006176211491,552.189044052873,326.185955947127,0,0
"85","Subject200",462.5,65.1111869548288,625.277967387072,299.722032612928,0,0
"86","Subject201",547.0625,79.4082017174549,745.583004293637,348.541995706363,0,0
"87","Subject202",418.933333333333,48.2426406921551,539.539935063721,298.326731602946,0,0
"88","Subject203",376,40.5873543524745,477.468385881186,274.531614118814,0,0
"89","Subject204",331.9375,17.9795022178035,376.886255544509,286.988744455491,0,0
"90","Subject205",437.1875,59.4869383422389,585.904845855597,288.470154144403,0,0
"91","Subject206",444.75,179.318896568841,893.047241422102,-3.54724142210233,1,0
"92","Subject207",506.6875,219.685750941354,1055.90187735339,-42.5268773533853,1,0
"93","Subject208",451.3125,89.9834938567439,676.27123464186,226.35376535814,0,0
"94","Subject209",277.52380952381,134.899821737324,614.773363867121,-59.7257448195015,0,0
"95","Subject21",446.5625,156.124723111577,836.874307778943,56.2506922210569,0,0
"96","Subject210",342.75,40.8044115262063,444.761028815516,240.738971184484,1,0
"97","Subject212",297.214285714286,57.3480313811791,440.584364167234,153.844207261338,1,0
"98","Subject213",401.625,31.3089444089065,479.897361022266,323.352638977734,0,0
"99","Subject214",466.952380952381,169.405866542595,890.467047308869,43.4377145958927,1,0
"100","Subject215",353.3125,39.3627891118842,451.71947277971,254.90552722029,0,0
"101","Subject217",693.5,239.832719480336,1293.08179870084,93.9182012991611,0,0
"102","Subject219",331.666666666667,39.2713393613981,429.845015070162,233.488318263171,0,0
"103","Subject22",296.0625,25.5120069771079,359.84251744277,232.28248255723,0,0
"104","Subject220",579.3125,140.223021766518,929.870054416295,228.754945583705,0,0
"105","Subject221",374.25,64.1960538766468,534.740134691617,213.759865308383,0,0
"106","Subject222",320.25,47.3363848781604,438.590962195401,201.909037804599,1,0
"107","Subject223",387.375,71.4626942303932,566.031735575983,208.718264424017,1,0
"108","Subject224",337.5,47.4763098818769,456.190774704692,218.809225295308,0,0
"109","Subject225",408,64.8927320018711,570.231830004678,245.768169995322,0,0
"110","Subject226",433.75,42.6200265915762,540.300066478941,327.199933521059,0,0
"111","Subject227",637.875,221.768610643316,1192.29652660829,83.4534733917101,0,0
"112","Subject228",637.125,120.270181951582,937.800454878955,336.449545121045,1,0
"113","Subject229",346.733333333333,37.1972861273251,439.726548651646,253.74011801502,0,0
"114","Subject23",387.375,39.6801797710981,486.575449427745,288.174550572255,0,0
"115","Subject230",375.625,33.6984173713445,459.871043428361,291.378956571639,0,0
"116","Subject231",379.2,52.3602902971326,510.100725742832,248.299274257168,0,0
"117","Subject232",467.375,46.6274239763111,583.943559940778,350.806440059222,0,0
"118","Subject233",462.375,117.568065391925,756.295163479813,168.454836520187,0,0
"119","Subject234",415.066666666667,45.8996835760439,529.815875606776,300.317457726557,1,0
"120","Subject236",391,66.3837329471611,556.959332367903,225.040667632097,0,0
"121","Subject237",369.75,57.1763354311321,512.69083857783,226.80916142217,0,0
"122","Subject238",436.8125,76.1053819822663,627.075954955666,246.549045044334,1,0
"123","Subject239",300.375,29.361823285802,373.779558214505,226.970441785495,1,0
"124","Subject24",351.866666666667,47.6533114823943,470.999945372653,232.733387960681,0,0
"125","Subject240",353,96.6622987518919,594.65574687973,111.34425312027,0,0
