"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1",479.578125,97.2881181161775,722.798420290444,236.357829709556,1,0
"2","Subject10",443.845588235294,158.361321579313,839.748892183575,47.9422842870129,6,1
"3","Subject100",539.285714285714,214.728367686715,1076.1066335025,2.46479506892774,3,0
"4","Subject101",428.92,137.196003343149,771.910008357872,85.9299916421277,1,0
"5","Subject102",316.109375,26.2346657781658,381.696039445414,250.522710554586,0,0
"6","Subject103",369.515625,45.6442392573362,483.626223143341,255.405026856659,1,0
"7","Subject104",426.809523809524,241.664514000688,1030.97080881124,-177.351761192197,1,0
"8","Subject105",361.09375,62.0247566420694,516.155641605174,206.031858394826,2,0
"9","Subject106",338.78125,69.765473051924,513.19493262981,164.36756737019,2,0
"10","Subject107",363,54.1309405992426,498.327351498107,227.672648501894,2,0
"11","Subject108",434.703125,90.1722654167945,660.133788541986,209.272461458014,0,0
"12","Subject109",381.575,99.3120354224342,629.855088556086,133.294911443914,3,1
"13","Subject11",465.883408071749,193.271141386492,949.061261537978,-17.2944453944801,12,0
"14","Subject110",412.148148148148,226.213769509439,977.682571921745,-153.386275625449,1,0
"15","Subject111",317.34375,48.5105842648209,438.620210662052,196.067289337948,2,0
"16","Subject112",411.6875,166.456140846161,827.827852115401,-4.45285211540124,2,0
"17","Subject113",341.546875,60.205713404853,492.061158512133,191.032591487867,1,1
"18","Subject114",402.328125,53.3455505910019,535.692001477505,268.964248522495,1,0
"19","Subject115",432.359375,67.9709011473129,602.286627868282,262.432122131718,1,0
"20","Subject116",398.428571428571,109.347140954956,671.796423815962,125.060719041181,2,0
"21","Subject117",443.40625,81.6781758168111,647.601689542028,239.210810457972,1,0
"22","Subject118",376.5,53.3526750642171,509.881687660543,243.118312339457,2,0
"23","Subject119",325.109375,49.5981045424757,449.104636356189,201.114113643811,1,1
"24","Subject120",299.46875,44.6737623184184,411.153155796046,187.784344203954,3,1
"25","Subject121",391.859375,62.5903454159323,548.335238539831,235.383511460169,1,0
"26","Subject123",419.109375,49.9739986956709,544.044371739177,294.174378260823,2,0
"27","Subject124",462.5,93.4894952082089,696.223738020522,228.776261979478,2,0
"28","Subject125",333.796875,79.6496653880515,532.921038470129,134.672711529871,1,0
"29","Subject127",495.8125,88.6478452991976,717.432113247994,274.192886752006,1,0
"30","Subject128",397.703125,100.84211763193,649.808419079826,145.597830920174,2,0
"31","Subject129",344.34375,66.4293917426736,510.417229356684,178.270270643316,2,0
"32","Subject13",353.6,44.2048706392779,464.112176598195,243.087823401805,1,0
"33","Subject130",417.349206349206,93.4358773964468,650.938899840323,183.759512858089,1,0
"34","Subject131",402.84375,164.827973695906,814.913684239766,-9.22618423976598,2,0
"35","Subject132",500.866666666667,176.827356832289,942.93505874739,58.7982745859433,2,0
"36","Subject133",287.634920634921,37.6509013674829,381.762174053628,193.507667216214,1,1
"37","Subject134",406.5625,56.3252671035452,547.375667758863,265.749332241137,1,0
"38","Subject135",345.171875,75.2389958599653,533.269364649913,157.074385350087,1,0
"39","Subject137",416.71875,69.8130084639937,591.251271159984,242.186228840016,1,0
"40","Subject138",338.734375,79.4461467169718,537.349741792429,140.119008207571,2,0
"41","Subject139",484.375,182.766526406241,941.291316015602,27.4586839843976,3,0
"42","Subject14",309.4375,36.8845797349275,401.648949337319,217.226050662681,1,0
"43","Subject140",336.112903225806,53.8799834601182,470.812861876102,201.412944575511,1,0
"44","Subject141",473.78125,105.504903782821,737.543509457051,210.018990542949,1,0
"45","Subject142",489.8125,104.289717796604,750.536794491509,229.088205508491,2,0
"46","Subject143",294.428571428571,38.7097196620353,391.20287058366,197.654272273483,2,0
"47","Subject144",462.40625,72.4881421611028,643.626605402757,281.185894597243,2,0
"48","Subject145",410,89.9175249343674,634.793812335918,185.206187664082,3,0
"49","Subject146",319.78125,34.7838991899577,406.740997974894,232.821502025106,1,0
"50","Subject147",547.01724137931,356.612645099537,1438.54885412815,-344.514371369531,4,0
"51","Subject148",292.360655737705,77.8847509223051,487.072533043468,97.6487784319421,1,0
"52","Subject149",332.765625,45.104725472179,445.527438680448,220.003811319552,2,0
"53","Subject15",400.515625,68.1510908243995,570.893352060999,230.137897939001,2,0
"54","Subject151",352.28125,53.8735935992912,486.965233998228,217.597266001772,3,0
"55","Subject152",425.603174603175,152.317001749698,806.395678977419,44.8106702289303,3,0
"56","Subject153",331.75,55.6990211079239,470.99755276981,192.50244723019,3,0
"57","Subject154",344.117647058824,74.014644212698,529.154257590568,159.081036527079,1,0
"58","Subject155",396.125,131.784757169493,725.586892923732,66.6631070762677,1,0
"59","Subject156",375.234375,63.9910068551303,535.211892137826,215.256857862174,1,0
"60","Subject157",422.063492063492,81.987778990151,627.032939538869,217.094044588115,0,0
"61","Subject158",658.730158730159,362.828325455993,1565.80097237014,-248.340654909825,1,0
"62","Subject159",455.725,271.182877787533,1133.68219446883,-222.232194468833,1,0
"63","Subject16",429.140625,140.712232203411,780.921205508528,77.3600444914724,3,0
"64","Subject17",364.25,60.7529475410094,516.132368852523,212.367631147477,2,0
"65","Subject18",460.551724137931,190.085397048049,935.765216758054,-14.6617684821922,3,0
"66","Subject181",526.765625,255.98026599209,1166.71628998022,-113.185039980224,2,0
"67","Subject182",348.78125,36.6603755425478,440.432188856369,257.130311143631,0,0
"68","Subject183",407.609375,109.05679562787,680.251364069675,134.967385930324,1,0
"69","Subject184",293.114754098361,51.6533633498845,422.248162473072,163.981345723649,2,0
"70","Subject185",425.413793103448,111.85945175001,705.062422478473,145.765163728423,1,0
"71","Subject186",356.857142857143,51.7106893369743,486.133866199579,227.580419514707,2,0
"72","Subject187",369.71875,74.4751942830099,555.906735707525,183.530764292475,1,0
"73","Subject188",379.359375,63.7804685204063,538.810546301016,219.908203698984,2,0
"74","Subject189",445.203125,49.2232296714236,568.261199178559,322.145050821441,1,0
"75","Subject19",375.774193548387,89.4272154553247,599.342232186699,152.206154910075,2,0
"76","Subject190",524.671875,81.7017523636165,728.926255909041,320.417494090959,1,0
"77","Subject191",443.458333333333,170.838336794879,870.554175320531,16.3624913461353,1,0
"78","Subject192",438.28125,73.4342311835823,621.866827958956,254.695672041044,2,0
"79","Subject194",351.265625,58.8121146648308,498.295911662077,204.235338337923,0,0
"80","Subject196",446.109375,243.404172153695,1054.61980538424,-162.401055384237,4,0
"81","Subject197",377.079365079365,75.0598259427646,564.728929936276,189.429800222454,3,0
"82","Subject198",384.125,136.586910525805,725.592276314511,42.6577236854887,2,0
"83","Subject199",329.734375,47.6619185738767,448.889171434692,210.579578565308,1,0
"84","Subject20",394.15625,73.3245056916215,577.467514229054,210.844985770946,1,0
