"","SubjectID","incorr"
"1","Subject10",6
"2","Subject100",1
"3","Subject101",1
"4","Subject104",1
"5","Subject109",2
"6","Subject11",7
"7","Subject110",15
"8","Subject116",1
"9","Subject13",1
"10","Subject130",1
"11","Subject132",2
"12","Subject133",1
"13","Subject140",2
"14","Subject143",1
"15","Subject145",1
"16","Subject147",1
"17","Subject148",3
"18","Subject152",1
"19","Subject154",2
"20","Subject157",1
"21","Subject158",1
"22","Subject159",1
"23","Subject18",3
"24","Subject184",3
"25","Subject185",1
"26","Subject186",1
"27","Subject19",2
"28","Subject197",1
"29","Subject202",1
"30","Subject212",2
"31","Subject214",3
"32","Subject219",1
"33","Subject227",1
"34","Subject228",1
"35","Subject229",1
"36","Subject231",1
"37","Subject232",1
"38","Subject233",1
"39","Subject234",1
"40","Subject239",3
"41","Subject24",1
"42","Subject242",2
"43","Subject245",2
"44","Subject247",1
"45","Subject248",1
"46","Subject25",2
"47","Subject253",1
"48","Subject257",1
"49","Subject259",1
"50","Subject26",1
"51","Subject261",1
"52","Subject262",1
"53","Subject263",14
"54","Subject264",2
"55","Subject266",1
"56","Subject267",1
"57","Subject269",4
"58","Subject272",3
"59","Subject273",8
"60","Subject274",2
"61","Subject277",1
"62","Subject279",2
"63","Subject28",1
"64","Subject281",1
"65","Subject284",2
"66","Subject285",1
"67","Subject286",2
"68","Subject287",2
"69","Subject29",1
"70","Subject290",2
"71","Subject291",1
"72","Subject297",1
"73","Subject299",1
"74","Subject30",1
"75","Subject301",3
"76","Subject302",1
"77","Subject303",1
"78","Subject304",3
"79","Subject305",1
"80","Subject312",1
"81","Subject316",11
"82","Subject317",7
"83","Subject318",1
"84","Subject32",1
"85","Subject323",2
"86","Subject326",14
"87","Subject33",2
"88","Subject332",1
"89","Subject333",2
"90","Subject36",1
"91","Subject37",5
"92","Subject39",1
"93","Subject4",2
"94","Subject45",4
"95","Subject46",3
"96","Subject48",2
"97","Subject50",8
"98","Subject58",1
"99","Subject67",1
"100","Subject68",2
"101","Subject71",1
"102","Subject72",1
"103","Subject78",1
"104","Subject8",1
"105","Subject82",1
"106","Subject86",1
"107","Subject87",1
"108","Subject89",2
"109","Subject9",7
"110","Subject90",1
"111","Subject92",2
"112","Subject97",1
"113","Subject98",2
