"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1","negative",478.6875,92.374396705292,709.62349176323,247.75150823677,0,0,"Subject1","neutral",499,113.875955905245,783.689889763113,214.310110236887,1,0,"Subject1","positive",476.3125,105.262034149703,739.467585374259,213.157414625741,0,0,"Subject1","suicide",464.3125,80.677728236071,666.006820590178,262.618179409822,0,0
"5","Subject10","negative",417.138888888889,102.978776092497,674.585829120131,159.691948657647,0,1,"Subject10","neutral",491.630769230769,228.622544357422,1063.18713012432,-79.9255916627866,2,0,"Subject10","positive",454.210526315789,125.69275704245,768.442418921914,139.978633709665,2,0,"Subject10","suicide",421.102564102564,142.662674497006,777.759250345079,64.445877860049,2,0
"9","Subject100","negative",537.733333333333,273.499926003298,1221.48314834158,-146.016481674912,1,0,"Subject100","neutral",583.5625,167.85508382729,1003.20020956823,163.924790431774,0,0,"Subject100","positive",525.6875,189.873894554605,1000.37223638651,51.002763613487,1,0,"Subject100","suicide",510.0625,230.946593754198,1087.4289843855,-67.3039843854956,1,0
"13","Subject101","negative",491,110.764013409892,767.910033524729,214.089966475271,0,0,"Subject101","neutral",463.875,212.070363996751,994.050909991876,-66.3009099918764,0,0,"Subject101","positive",402.333333333333,64.923544778968,564.642195280753,240.024471385913,0,0,"Subject101","suicide",376.285714285714,70.9735027685551,553.719471207102,198.851957364327,0,0
"17","Subject102","negative",317.75,29.4493916179378,391.373479044845,244.126520955155,0,0,"Subject102","neutral",324,26.4297811820933,390.074452955233,257.925547044767,0,0,"Subject102","positive",311.125,27.1658486584412,379.039621646103,243.210378353897,0,0,"Subject102","suicide",311.5625,21.6578507705635,365.707126926409,257.417873073591,0,0
"21","Subject103","negative",363.875,37.2699610946939,457.049902736735,270.700097263265,0,0,"Subject103","neutral",373.875,41.7913467917303,478.353366979326,269.396633020674,0,0,"Subject103","positive",382.125,58.1318902726091,527.454725681523,236.795274318477,0,0,"Subject103","suicide",358.1875,43.297757832633,466.431894581583,249.943105418417,1,0
"25","Subject104","negative",525.4375,412.407237044486,1556.45559261121,-505.580592611214,1,0,"Subject104","neutral",398.933333333333,158.208482103596,794.454538592323,3.41212807434368,1,0,"Subject104","positive",379.875,84.01259826161,589.906495654025,169.843504345975,1,0,"Subject104","suicide",401.25,163.386453946872,809.71613486718,-7.21613486718007,1,0
"29","Subject105","negative",362.6875,60.4049873768715,513.699968442179,211.675031557821,0,0,"Subject105","neutral",368.1875,53.4642793523551,501.848198380888,234.526801619112,1,0,"Subject105","positive",363,75.9780670105963,552.945167526491,173.054832473509,0,0,"Subject105","suicide",350.5,60.8100868825778,502.525217206445,198.474782793555,0,0
"33","Subject106","negative",320.0625,48.7681162919655,441.982790729914,198.142209270086,1,0,"Subject106","neutral",356.8125,77.2737288259514,549.996822064878,163.628177935122,0,0,"Subject106","positive",324.3125,59.4437759567812,472.921939891953,175.703060108047,0,0,"Subject106","suicide",353.9375,85.8506212363467,568.564053090867,139.310946909133,0,0
"37","Subject107","negative",363.625,30.5327692815441,439.95692320386,287.29307679614,0,0,"Subject107","neutral",385.6875,81.0931306174163,588.420326543541,182.954673456459,1,0,"Subject107","positive",353.8125,41.9224979376627,458.618744844157,249.006255155843,0,0,"Subject107","suicide",348.875,46.7815846959748,465.828961739937,231.921038260063,0,0
"41","Subject108","negative",437.5625,94.9287232611921,674.88430815298,200.24069184702,0,0,"Subject108","neutral",469.4375,109.186671195099,742.404177987748,196.470822012252,0,0,"Subject108","positive",411.9375,61.8584068660033,566.583517165008,257.291482834992,0,0,"Subject108","suicide",419.875,85.4851839014613,633.587959753653,206.162040246347,1,0
"45","Subject109","negative",364.190476190476,83.2746174098801,572.377019715176,156.003932665776,1,0,"Subject109","neutral",379.666666666667,103.115145993852,637.454531651296,121.878801682038,1,0,"Subject109","positive",425.722222222222,100.782704839527,677.67898432104,173.765460123404,0,0,"Subject109","suicide",362.1,104.140037297963,622.450093244907,101.749906755093,0,0
"49","Subject11","negative",482.98275862069,214.638454998601,1019.57889611719,-53.613378875812,3,0,"Subject11","neutral",451.559322033898,161.820171709049,856.109751306522,47.0088927612748,3,0,"Subject11","positive",463.379310344828,147.864545361471,833.040673748506,93.7179469411491,2,0,"Subject11","suicide",465.854166666667,247.201871987621,1083.85884663572,-152.150513302387,4,0
"53","Subject110","negative",386.1,174.127316128809,821.418290322023,-49.2182903220227,0,0,"Subject110","neutral",431.5,223.845929156641,991.114822891603,-128.114822891603,0,0,"Subject110","positive",333.166666666667,155.504876665224,721.928858329728,-55.5955249963944,0,0,"Subject110","suicide",506,336.404518400095,1347.01129600024,-335.011296000238,0,0
"57","Subject111","negative",313.5,58.1274461850854,458.818615462714,168.181384537286,1,0,"Subject111","neutral",318.9375,38.9366472619305,416.279118154826,221.595881845174,1,0,"Subject111","positive",301.1875,27.9719353400273,371.117338350068,231.257661649932,1,0,"Subject111","suicide",335.75,59.5667692593782,484.666923148445,186.833076851555,0,0
"61","Subject112","negative",393.375,86.7016916405518,610.12922910138,176.62077089862,1,0,"Subject112","neutral",436,261.453118805902,1089.63279701476,-217.632797014756,1,0,"Subject112","positive",467.25,163.826941211349,876.817353028371,57.6826469716285,0,0,"Subject112","suicide",350.125,73.0350372538186,532.712593134546,167.537406865454,1,0
"65","Subject113","negative",324.625,83.8402250315046,534.225562578762,115.024437421238,0,1,"Subject113","neutral",345.1875,37.3777451611695,438.631862902924,251.743137097076,0,0,"Subject113","positive",338.125,42.4670460474943,444.292615118736,231.957384881264,0,0,"Subject113","suicide",358.25,66.0641102768112,523.410275692028,193.089724307972,1,0
"69","Subject114","negative",389.1875,49.4168915115739,512.729728778935,265.645271221065,0,0,"Subject114","neutral",405.375,44.4625310420658,516.531327605165,294.218672394835,0,0,"Subject114","positive",410.3125,68.762120143773,582.217800359432,238.407199640568,1,0,"Subject114","suicide",404.4375,50.3798488154407,530.387122038602,278.487877961398,0,0
"73","Subject115","negative",454.4375,100.65450395619,706.073759890475,202.801240109525,1,0,"Subject115","neutral",421.125,59.3451767206064,569.487941801516,272.762058198484,0,0,"Subject115","positive",426.625,42.3806166385845,532.576541596461,320.673458403539,0,0,"Subject115","suicide",427.25,56.8981546273691,569.495386568423,285.004613431577,0,0
"77","Subject116","negative",357.5,20.5231576517845,408.807894129461,306.192105870539,0,0,"Subject116","neutral",430.6875,181.30773793011,883.956844825274,-22.5818448252742,1,0,"Subject116","positive",420.133333333333,106.996573153848,687.624766217952,152.641900448714,1,0,"Subject116","suicide",386.75,43.9234182033533,496.558545508383,276.941454491617,1,0
"81","Subject117","negative",452.6875,88.0634004567164,672.846001141791,232.528998858209,0,0,"Subject117","neutral",434.8125,84.7106595024105,646.589148756026,223.035851243974,0,0,"Subject117","positive",429.75,88.1434436964353,650.108609241088,209.391390758912,1,0,"Subject117","suicide",456.375,69.0669964599591,629.042491149898,283.707508850102,0,0
"85","Subject118","negative",385.125,71.6648449380866,564.287112345217,205.962887654783,1,0,"Subject118","neutral",381.0625,43.1500772498343,488.937693124586,273.187306875414,0,0,"Subject118","positive",359.875,32.0933534136483,440.108383534121,279.641616465879,0,0,"Subject118","suicide",379.9375,59.3177531042211,528.231882760553,231.643117239447,1,0
"89","Subject119","negative",318.6875,28.4879360431745,389.907340107936,247.467659892064,0,0,"Subject119","neutral",330.5625,56.7062239382357,472.328059845589,188.796940154411,0,0,"Subject119","positive",323.625,64.7135998071503,485.408999517876,161.841000482124,0,0,"Subject119","suicide",327.5625,45.0821010306012,440.267752576503,214.857247423497,1,0
"93","Subject120","negative",290.5625,32.4858302443799,371.77707561095,209.34792438905,0,0,"Subject120","neutral",304.9375,49.6755724677633,429.126431169408,180.748568830592,0,0,"Subject120","positive",299.4375,54.6149781043015,435.974945260754,162.900054739246,0,0,"Subject120","suicide",302.9375,41.7970792440493,407.430198110123,198.444801889877,1,0
"97","Subject121","negative",398.1875,61.8592151582931,552.835537895733,243.539462104267,0,0,"Subject121","neutral",390.5625,72.7671801020213,572.480450255053,208.644549744947,1,0,"Subject121","positive",381.25,58.992089865224,528.73022466306,233.76977533694,0,0,"Subject121","suicide",397.4375,60.4504962758785,548.563740689696,246.311259310304,0,0
