"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1",798.354166666667,235.469742347936,1269.29365136254,327.414681970794,4,0
"2","Subject10",405.437901861252,185.741422094944,776.92074605114,33.9550576713636,155,8
"3","Subject100",573.833333333333,195.518563752729,964.870460838791,182.796205827876,8,0
"4","Subject101",566.95652173913,153.774625512485,874.505772764101,259.40727071416,4,0
"5","Subject102",363.489361702128,68.6709067509436,500.831175204015,226.14754820024,4,0
"6","Subject103",454.553191489362,107.682889388817,669.918970266996,239.187412711727,2,0
"7","Subject104",475.375,103.684871758511,682.744743517023,268.005256482977,6,0
"8","Subject105",454.909090909091,95.6761343022706,646.261359513632,263.55682230455,4,0
"9","Subject106",457.479166666667,95.7377975367774,648.954761740222,266.003571593112,2,2
"10","Subject107",474.875,123.236294209646,721.347588419291,228.402411580709,6,0
"11","Subject108",498.645833333333,95.6910576217649,690.027948576863,307.263718089804,6,0
"12","Subject109",403.173913043478,106.983885886917,617.141684817312,189.206141269644,4,0
"13","Subject11",699.479166666667,308.297053579197,1316.07327382506,82.8850595082733,8,0
"14","Subject110",560.541666666667,117.269811852539,795.081290371744,326.002042961589,6,0
"15","Subject111",426.533333333333,92.3280910909263,611.189515515186,241.877151151481,4,0
"16","Subject112",758.065596173557,199.381711253764,1156.82901868108,359.302173666028,148,2
"17","Subject113",546.833333333333,201.94729206387,950.727917461072,142.938749205594,4,0
"18","Subject114",552.125,226.628248808251,1005.3814976165,98.8685023834971,4,0
"19","Subject115",453.833333333333,71.9667564580183,597.76684624937,309.899820417297,6,0
"20","Subject116",623.021739130435,234.626051702707,1092.27384253585,153.76963572502,4,0
"21","Subject117",462.375,89.7234640436937,641.821928087388,282.928071912613,4,0
"22","Subject118",530.354166666667,94.7534172878176,719.861001242302,340.847332091031,4,0
"23","Subject119",491.063829787234,147.530700906307,786.125231599848,196.00242797462,4,0
"24","Subject12",523.555555555556,141.044507367982,805.644570291519,241.466540819592,6,0
"25","Subject120",374.148936170213,96.2932301963736,566.73539656296,181.562475777466,2,0
"26","Subject121",520.851063829787,125.138543218531,771.128150266849,270.573977392726,6,0
"27","Subject122",589.354166666667,147.034759883624,883.423686433915,295.284646899418,4,0
"28","Subject123",615.333333333333,143.108693815624,901.550720964581,329.115945702085,4,0
"29","Subject124",552.45652173913,86.3014666376691,725.059455014469,379.853588463792,2,0
"30","Subject125",694.106382978723,172.868678362564,1039.84373970385,348.369026253596,2,0
"31","Subject127",838.042553191489,229.206950432888,1296.45645405727,379.628652325713,4,0
"32","Subject128",499.702127659574,124.400483160148,748.50309397987,250.901161339279,4,0
"33","Subject129",392.844444444444,99.5520202912523,591.948485026949,193.74040386194,4,0
"34","Subject13",423.347826086957,80.9569733480922,585.261772783141,261.433879390772,2,0
"35","Subject131",574.340425531915,160.092483566346,894.525392664606,254.155458399224,4,0
"36","Subject132",812.918918918919,387.698398410829,1588.31571574058,37.5221220972604,2,0
"37","Subject133",454.145833333333,109.930502367983,674.0068380693,234.284828597367,4,0
