"","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","blocknum","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1","num1","negative",796.666666666667,173.004116258615,1142.6748991839,450.658434149437,0,0,"Subject1","num2","negative",832.666666666667,141.140377144905,1114.94742095648,550.385912376856,0,0,"Subject1","num1","positive",716.166666666667,149.757885409832,1015.68243748633,416.650895847003,0,0,"Subject1","num2","positive",810,133.37438761894,1076.74877523788,543.25122476212,0,0,"Subject1","num1","suicide",671.833333333333,303.710637803735,1279.2546089408,64.4120577258633,0,0,"Subject1","num2","suicide",1029.83333333333,366.485726705404,1762.80478674414,296.861879922526,0,0,"Subject1","num1","neutral",761.166666666667,250.931657966262,1263.02998259919,259.303350734143,0,0,"Subject1","num2","neutral",768.5,109.837483252634,988.174966505269,548.825033494731,0,0
"9","Subject10","num1","negative",395.802631578947,184.503628450126,764.8098884792,26.7953746786944,14,1,"Subject10","num2","negative",428.257225433526,218.310363479873,864.877952393272,-8.36350152621992,19,0,"Subject10","num1","positive",383.767567567568,139.705846715638,663.179260998844,104.355874136291,13,1,"Subject10","num2","positive",421.132947976879,212.637569344628,846.408086666135,-4.14219071237744,17,0,"Subject10","num1","suicide",392.577023498695,161.192508544946,714.962040588587,70.1920064088022,15,1,"Subject10","num2","suicide",418.498614958449,196.179893700962,810.858402360373,26.1388275565246,24,2,"Subject10","num1","neutral",391.57800511509,174.693382456116,740.964770027322,42.1912402028568,18,1,"Subject10","num2","neutral",415.97619047619,188.30664354862,792.589477573431,39.3629033789497,22,0
"17","Subject100","num1","negative",626.5,143.057204070133,912.614408140266,340.385591859734,0,0,"Subject100","num2","negative",705.833333333333,311.976349142435,1329.7860316182,81.8806350484637,0,0,"Subject100","num1","positive",512.5,63.0115429540854,638.523085908171,386.476914091829,0,0,"Subject100","num2","positive",593.166666666667,317.769165313821,1228.70499729431,-42.3716639609752,0,0,"Subject100","num1","suicide",602.833333333333,93.6985818591949,790.230497051723,415.436169614944,0,0,"Subject100","num2","suicide",536.333333333333,188.675446845699,913.684227024732,158.982439641935,0,0,"Subject100","num1","neutral",570.666666666667,116.204626205307,803.075919077281,338.257414256052,0,0,"Subject100","num2","neutral",442.833333333333,42.3552794462473,527.543892225828,358.122774440839,0,0
"25","Subject101","num1","negative",585.833333333333,194.04630812507,973.925949583474,197.740717083193,2,0,"Subject101","num2","negative",514.4,69.9383855817231,654.276771163446,374.523228836554,0,0,"Subject101","num1","positive",701.5,262.034522361255,1225.56904472251,177.430955277491,2,0,"Subject101","num2","positive",525.4,99.6875117554852,724.77502351097,326.02497648903,0,0,"Subject101","num1","suicide",512.333333333333,112.181130590693,736.695594514719,287.971072151948,0,0,"Subject101","num2","suicide",559.166666666667,106.278222633146,771.723111932959,346.610221400374,0,0,"Subject101","num1","neutral",586.166666666667,143.462908309451,873.092483285569,299.240850047764,0,0,"Subject101","num2","neutral",535.166666666667,60.5682685200357,656.303203706738,414.030129626595,0,0
"33","Subject102","num1","negative",395.333333333333,50.2490765782785,495.83148648989,294.835180176776,0,0,"Subject102","num2","negative",348,60.2147671407785,468.429534281557,227.570465718443,0,0,"Subject102","num1","positive",362.5,45.7334172629321,453.966834525864,271.033165474136,0,0,"Subject102","num2","positive",386.166666666667,101.396461596263,588.959589859193,183.373743474141,0,0,"Subject102","num1","suicide",349.2,45.6235806476334,440.447161295267,257.952838704733,0,0,"Subject102","num2","suicide",377,110.079310251539,597.158620503078,156.841379496922,2,0,"Subject102","num1","neutral",330.833333333333,38.2879837151253,407.409300763584,254.257365903083,0,0,"Subject102","num2","neutral",356.5,50.2746999448575,457.049399889715,255.950600110285,0,0
"41","Subject103","num1","negative",433.8,96.2898402394216,626.379680478843,241.220319521157,0,0,"Subject103","num2","negative",510.333333333333,163.919788218802,838.172909770938,182.493756895729,0,0,"Subject103","num1","positive",419.333333333333,117.01696328725,653.367259907834,185.299406758833,2,0,"Subject103","num2","positive",415.333333333333,41.3968231836329,498.126979700599,332.539686966067,0,0,"Subject103","num1","suicide",436.5,85.2051001461127,606.910200292225,266.089799707775,0,0,"Subject103","num2","suicide",472,130.060125955792,732.120251911583,211.879748088417,0,0,"Subject103","num1","neutral",441.333333333333,78.9169106584817,599.167154650297,283.49951201637,0,0,"Subject103","num2","neutral",504.333333333333,85.8554105176343,676.044154368602,332.622512298065,0,0
"49","Subject104","num1","negative",445.666666666667,68.9496961999152,583.566059066497,307.767274266836,0,0,"Subject104","num2","negative",489.333333333333,44.7971860588127,578.927705450959,399.738961215708,0,0,"Subject104","num1","positive",584.333333333333,169.036485213499,922.406303760331,246.260362906336,0,0,"Subject104","num2","positive",465.166666666667,124.998060591015,715.162787848697,215.170545484636,0,0,"Subject104","num1","suicide",460.166666666667,61.8367841886031,583.840235043873,336.49309828946,2,0,"Subject104","num2","suicide",448.333333333333,63.4369168879007,575.207167109135,321.459499557532,0,0,"Subject104","num1","neutral",493.333333333333,112.160058790457,717.653450914248,269.013215752419,0,0,"Subject104","num2","neutral",416.666666666667,45.353827809455,507.374322285577,325.959011047757,0,0
"57","Subject105","num1","negative",474.833333333333,82.0386087969155,638.910550927164,310.756115739502,0,0,"Subject105","num2","negative",401,88.6416004668989,578.283200933798,223.716799066202,0,0,"Subject105","num1","positive",383.833333333333,51.2548593409504,486.343052015234,281.323614651433,0,0,"Subject105","num2","positive",538,79.5784347215203,697.156869443041,378.843130556959,0,0,"Subject105","num1","suicide",485.75,77.0060294485346,639.762058897069,331.737941102931,0,0,"Subject105","num2","suicide",428.5,87.2170750588334,602.934150117667,254.065849882333,0,0,"Subject105","num1","neutral",409.833333333333,73.9985667346867,557.830466802707,261.83619986396,0,0,"Subject105","num2","neutral",531.6,100.661368513999,732.922737027998,330.277262972002,0,0
"65","Subject106","num1","negative",457.333333333333,96.8985724009045,651.130478135142,263.536188531524,0,0,"Subject106","num2","negative",455.833333333333,77.7207510997877,611.274835532909,300.391831133758,2,0,"Subject106","num1","positive",401.166666666667,83.2551754693019,567.67701760527,234.656315728063,0,0,"Subject106","num2","positive",492.166666666667,171.279056371511,834.724779409688,149.608553923645,0,0,"Subject106","num1","suicide",510.5,68.2182327001167,646.936465400233,374.063534599767,0,0,"Subject106","num2","suicide",440.5,45.6060203362351,531.71204067247,349.28795932753,2,0,"Subject106","num1","neutral",407.333333333333,57.2607009980482,521.85473532943,292.811931337237,0,0,"Subject106","num2","neutral",495,70.8031843146261,636.606368629252,353.393631370748,0,0
"73","Subject107","num1","negative",431.5,79.1379692803535,589.775938560707,273.224061439293,0,0,"Subject107","num2","negative",468.5,44.4716457164256,557.443291432851,379.556708567149,0,0,"Subject107","num1","positive",422.833333333333,26.8017412369669,476.436815807267,369.229850859399,0,0,"Subject107","num2","positive",487.666666666667,90.3421107219494,668.350888110566,306.982445222768,0,0,"Subject107","num1","suicide",397.166666666667,30.3639539087006,457.894574484068,336.438758849265,0,0,"Subject107","num2","suicide",644.666666666667,228.872864007046,1102.41239468076,186.920938652574,0,0,"Subject107","num1","neutral",443.833333333333,27.5906220343512,499.014577402036,388.652089264631,0,0,"Subject107","num2","neutral",502.833333333333,121.67231203175,746.177957396833,259.488709269833,2,0
