"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"1","Subject1","negative",814.666666666667,155.498823333075,1125.66431333282,503.669020000516,0,2,"Subject1","neutral",764.833333333333,189.468746227713,1143.77082578876,385.895840877908,2,0,"Subject1","positive",763.083333333333,146.733392265691,1056.55011786472,469.616548801952,0,0,"Subject1","suicide",850.833333333333,376.54350942853,1603.92035219039,97.7463144762729,2,0
"5","Subject10","negative",411.269972451791,201.836448249394,814.942868950579,7.59707595300279,36,2,"Subject10","neutral",403.570871261378,181.804225875652,767.179323012683,39.9624195100743,42,1,"Subject10","positive",401.824022346369,179.551725514979,760.927473376327,42.72057131641,34,2,"Subject10","suicide",405.154569892473,179.372103685894,763.898777264261,46.4103625206854,43,3
"9","Subject100","negative",666.166666666667,240.787054878582,1147.74077642383,184.592556909502,2,0,"Subject100","neutral",506.75,107.606469015171,721.962938030343,291.537061969657,2,0,"Subject100","positive",552.833333333333,227.793511887347,1008.42035710803,97.2463095586389,2,0,"Subject100","suicide",569.583333333333,149.592175064673,868.767683462679,270.398983203988,2,0
"13","Subject101","negative",553.363636363636,152.13544887762,857.634534118876,249.092738608397,2,0,"Subject101","neutral",560.666666666667,110.798943122674,782.264552912014,339.06878042132,2,0,"Subject101","positive",621.454545454545,219.726394208089,1060.90733387072,182.001757038368,2,0,"Subject101","suicide",535.75,109.512060086311,754.774120172622,316.725879827378,0,0
"17","Subject102","negative",371.666666666667,59.38135168162,490.429370029907,252.903963303427,0,0,"Subject102","neutral",343.666666666667,45.6267147781788,434.920096223024,252.413237110309,2,0,"Subject102","positive",374.333333333333,77.868711507794,530.070756348921,218.595910317745,2,0,"Subject102","suicide",364.363636363636,86.2557357400187,536.875107843674,191.852164883599,2,0
"21","Subject103","negative",475.545454545455,139.891361683247,755.328177911949,195.76273117896,0,0,"Subject103","neutral",472.833333333333,86.8290006986078,646.491334730549,299.175331936118,0,0,"Subject103","positive",417.333333333333,85.8637275579446,589.060788449222,245.605878217444,2,0,"Subject103","suicide",454.25,109.045762232512,672.341524465024,236.158475534976,0,0
"25","Subject104","negative",467.5,61.0808445031451,589.66168900629,345.33831099371,0,0,"Subject104","neutral",455,92.3772981710945,639.754596342189,270.245403657811,2,0,"Subject104","positive",524.75,157.615451129585,839.98090225917,209.51909774083,2,0,"Subject104","suicide",454.25,61.562446203905,577.37489240781,331.12510759219,2,0
"29","Subject105","negative",441.272727272727,91.1525052907446,623.577737854216,258.967716691238,2,0,"Subject105","neutral",465.181818181818,105.176331016349,675.534480214516,254.82915614912,2,0,"Subject105","positive",460.916666666667,102.397739728225,665.712146123116,256.121187210217,0,0,"Subject105","suicide",451.4,86.1201119612052,623.640223922411,279.15977607759,0,0
"33","Subject106","negative",456.583333333333,85.9073903115729,628.398113956479,284.768552710188,0,0,"Subject106","neutral",451.166666666667,77.2695264004182,605.705719467503,296.62761386583,2,0,"Subject106","positive",446.666666666667,139.663155848095,725.992978362857,167.340354970477,2,0,"Subject106","suicide",475.5,67.0723165857115,609.644633171423,341.355366828577,0,0
"37","Subject107","negative",450,65.5611231566789,581.122246313358,318.877753686642,0,0,"Subject107","neutral",473.333333333333,91.3914974004773,656.116328134288,290.550338532379,2,0,"Subject107","positive",455.25,73.099247602147,601.448495204294,309.051504795706,2,0,"Subject107","suicide",520.916666666667,203.650364631377,928.21739592942,113.615937403913,2,0
"41","Subject108","negative",488.166666666667,36.1442360149091,560.455138696485,415.878194636849,0,0,"Subject108","neutral",482.25,72.1340840862107,626.518168172421,337.981831827579,2,0,"Subject108","positive",510.833333333333,135.159058203632,781.151449740597,240.51521692607,2,0,"Subject108","suicide",513.333333333333,110.76362087863,734.860575090594,291.806091576073,2,0
"45","Subject109","negative",391.272727272727,67.4206283383737,526.113983949475,256.43147059598,0,0,"Subject109","neutral",397.818181818182,137.479223144942,672.776628108066,122.859735528298,2,0,"Subject109","positive",425.166666666667,132.928116130377,691.022898927421,159.310434405913,2,0,"Subject109","suicide",397,74.1619848709566,545.323969741913,248.676030258087,2,0
"49","Subject11","negative",726.666666666667,352.187532390081,1431.04173144683,22.2916018865043,2,0,"Subject11","neutral",669.666666666667,239.456752320506,1148.58017130768,190.753162025655,2,0,"Subject11","positive",671.083333333333,365.816171067509,1402.71567546835,-60.549008801684,2,0,"Subject11","suicide",730.5,271.743325185015,1273.98665037003,187.01334962997,2,0
"53","Subject110","negative",580.416666666667,129.282608086406,838.981882839478,321.851450493855,2,0,"Subject110","neutral",556.75,126.765874574042,810.281749148084,303.218250851916,0,0,"Subject110","positive",584.5,132.344412342421,849.188824684843,319.811175315157,2,0,"Subject110","suicide",520.5,61.6829199105851,643.86583982117,397.13416017883,0,2
"57","Subject111","negative",413.8,80.2060504345887,574.212100869177,253.387899130823,0,0,"Subject111","neutral",424.833333333333,106.122024377464,637.077382088261,212.589284578406,2,0,"Subject111","positive",457,107.365284649304,671.730569298608,242.269430701392,2,0,"Subject111","suicide",406.727272727273,60.9763278175437,528.67992836236,284.774617092185,0,0
"61","Subject112","negative",751.825375170532,197.105764956951,1146.03690508443,357.61384525663,35,0,"Subject112","neutral",764.098360655738,196.460871505948,1157.02010366763,371.176617643842,40,0,"Subject112","positive",750,206.750785265021,1163.50157053004,336.498429469958,42,2,"Subject112","suicide",766.280653950954,196.962334559282,1160.20532306952,372.35598483239,31,0
"65","Subject113","negative",517.416666666667,136.276865454012,789.970397574692,244.862935758642,2,0,"Subject113","neutral",650.333333333333,311.125679438064,1272.58469220946,28.0819744572049,2,0,"Subject113","positive",507.416666666667,102.914450190296,713.24556704726,301.587766286074,2,0,"Subject113","suicide",512.166666666667,165.92813181476,844.022930296186,180.310403037147,2,0
"69","Subject114","negative",525.5,134.394940380953,794.289880761907,256.710119238093,2,0,"Subject114","neutral",596.916666666667,364.394305862382,1325.70527839143,-131.871945058098,2,0,"Subject114","positive",552.75,185.578355653229,923.906711306459,181.593288693541,2,0,"Subject114","suicide",533.333333333333,153.798475332146,840.930283997626,225.736382669041,2,0
"73","Subject115","negative",465,66.7545797158778,598.509159431756,331.490840568244,2,0,"Subject115","neutral",463.166666666667,88.1055032909121,639.377673248491,286.955660084842,2,0,"Subject115","positive",439.833333333333,62.8605542082021,565.554441749738,314.112224916929,2,0,"Subject115","suicide",447.333333333333,68.9389564045245,585.211246142382,309.455420524284,2,0
"77","Subject116","negative",628.909090909091,246.914079733341,1122.73725037577,135.080931442408,2,0,"Subject116","neutral",614,117.041055598675,848.08211119735,379.91788880265,0,0,"Subject116","positive",577,129.720100014709,836.440200029418,317.559799970582,2,0,"Subject116","suicide",677.181818181818,372.18910149644,1421.5600211747,-67.1963848110618,2,0
"81","Subject117","negative",433.333333333333,66.2660426296689,565.865418592671,300.801248073995,2,0,"Subject117","neutral",453.75,79.8641509608388,613.478301921678,294.021698078322,0,0,"Subject117","positive",448.916666666667,58.4115210990216,565.73970886471,332.093624468623,2,0,"Subject117","suicide",513.5,123.270998740315,760.04199748063,266.95800251937,2,0
"85","Subject118","negative",540.833333333333,99.1904915966667,739.214316526667,342.45235014,2,0,"Subject118","neutral",501.75,86.5946328289612,674.939265657922,328.560734342078,2,0,"Subject118","positive",557.5,80.3270488852211,718.154097770442,396.845902229558,2,0,"Subject118","suicide",521.333333333333,107.106881468797,735.547096270928,307.119570395739,0,0
"89","Subject119","negative",494.416666666667,161.817642039928,818.051950746523,170.78138258681,2,0,"Subject119","neutral",474.833333333333,160.589584010775,796.012501354882,153.654165311784,0,0,"Subject119","positive",503.090909090909,107.823007126498,718.736923343905,287.444894837913,0,0,"Subject119","suicide",492.916666666667,158.082784219746,809.082235106158,176.751098227175,0,0
"93","Subject12","negative",519.666666666667,100.104582993147,719.875832652961,319.457500680372,0,0,"Subject12","neutral",453.818181818182,81.5280473875249,616.874276593232,290.762087043132,0,0,"Subject12","positive",539.272727272727,167.685130617783,874.642988508294,203.902466037161,2,0,"Subject12","suicide",581.818181818182,172.172017073633,926.162215965448,237.474147670915,2,0
"97","Subject120","negative",335.090909090909,51.7216994996703,438.53430809025,231.647510091568,2,0,"Subject120","neutral",420.25,148.820361510111,717.890723020221,122.609276979779,2,0,"Subject120","positive",364.666666666667,67.4341331881754,499.534933043017,229.798400290316,0,0,"Subject120","suicide",373.333333333333,67.7043872874647,508.742107908263,237.924558758404,0,0
"101","Subject121","negative",517.416666666667,144.827008250673,807.070683168013,227.76265016532,2,0,"Subject121","neutral",595.416666666667,157.117213699135,909.651094064937,281.182239268396,2,0,"Subject121","positive",472.25,47.6529573880372,567.555914776074,376.944085223926,2,0,"Subject121","suicide",496.272727272727,84.5774831107586,665.427693494244,327.11776105121,0,0
"105","Subject122","negative",667.833333333333,186.700799156825,1041.23493164698,294.431735019683,0,0,"Subject122","neutral",576.25,138.888209660175,854.02641932035,298.47358067965,0,0,"Subject122","positive",522.666666666667,95.6354794390462,713.937625544759,331.395707788574,0,0,"Subject122","suicide",590.666666666667,121.470936465465,833.608539597597,347.724793735736,0,0
"109","Subject123","negative",620.583333333333,164.108372641418,948.800078616169,292.366588050498,2,0,"Subject123","neutral",609.25,105.172425713372,819.594851426744,398.905148573256,0,0,"Subject123","positive",596.416666666667,101.774224406886,799.965115480439,392.868217852895,2,0,"Subject123","suicide",635.083333333333,188.130601414033,1011.3445361614,258.822130505267,2,0
"113","Subject124","negative",521.083333333333,70.8390193796235,662.76137209258,379.405294574086,0,0,"Subject124","neutral",507.916666666667,61.345009128107,630.606684922881,385.226648410453,0,0,"Subject124","positive",587.5,67.3502236936073,722.200447387215,452.799552612785,0,0,"Subject124","suicide",599.166666666667,102.458333701693,804.083334070053,394.24999926328,2,0
